,Provincienaam,Gemeentenaam,03-03-2020,04-03-2020,05-03-2020
484,Zuid-Holland,Alphen aan den Rijn,1.0,1.0,1.0
1959,Noord-Brabant,Altena,3.0,3.0,4.0
363,Noord-Holland,Amsterdam,0.0,1.0,2.0
753,Noord-Brabant,Best,0.0,0.0,1.0
375,Noord-Holland,Beverwijk,0.0,1.0,2.0
376,Noord-Holland,Blaricum,0.0,1.0,1.0
147,Overijssel,Borne,0.0,0.0,1.0
109,Drenthe,Coevorden,2.0,2.0,3.0
216,Gelderland,Culemborg,0.0,0.0,1.0
310,Utrecht,De Bilt,0.0,0.0,2.0
503,Zuid-Holland,Delft,1.0,1.0,1.0
384,Noord-Holland,Diemen,2.0,2.0,2.0
766,Noord-Brabant,Dongen,0.0,0.0,1.0
772,Noord-Brabant,Eindhoven,1.0,1.0,3.0
1652,Noord-Brabant,Gemert-Bakel,0.0,0.0,1.0
1942,Noord-Holland,Gooise Meren,0.0,1.0,1.0
392,Noord-Holland,Haarlem,1.0,1.0,1.0
523,Zuid-Holland,Hardinxveld-Giessendam,0.0,1.0,2.0
794,Noord-Brabant,Helmond,1.0,4.0,4.0
1963,Zuid-Holland,Hoeksche Waard,0.0,1.0,1.0
321,Utrecht,Houten,1.0,1.0,9.0
809,Noord-Brabant,Loon op Zand,4.0,5.0,5.0
828,Noord-Brabant,Oss,1.0,1.0,1.0
1926,Zuid-Holland,Pijnacker-Nootdorp,0.0,0.0,2.0
599,Zuid-Holland,Rotterdam,1.0,3.0,5.0
845,Noord-Brabant,Sint-Michielsgestel,0.0,0.0,1.0
1883,Limburg,Sittard-Geleen,0.0,0.0,2.0
342,Utrecht,Soest,0.0,0.0,4.0
1904,Utrecht,Stichtse Vecht,0.0,0.0,2.0
855,Noord-Brabant,Tilburg,2.0,3.0,3.0
344,Utrecht,Utrecht,2.0,2.0,6.0
297,Gelderland,Zaltbommel,0.0,1.0,1.0
50,Flevoland,Zeewolde,0.0,0.0,1.0
