Provincienaam,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020
Drenthe,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,8.0,10.0
Flevoland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0
Friesland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gelderland,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,13.0,26.0,27.0
Limburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,11.0,16.0,23.0
Noord-Brabant,1.0,1.0,3.0,5.0,8.0,12.0,17.0,24.0,34.0,57.0,93.0,135.0
Noord-Holland,0.0,1.0,3.0,3.0,3.0,3.0,7.0,9.0,10.0,17.0,22.0,23.0
Overijssel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,9.0,10.0
Utrecht,0.0,0.0,0.0,0.0,3.0,3.0,3.0,23.0,33.0,47.0,52.0,52.0
Zeeland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Zuid-Holland,0.0,0.0,1.0,2.0,3.0,3.0,7.0,12.0,23.0,29.0,34.0,37.0
